Iteration,Fitness
1,585.7529
2,548.0399
3,565.2161000000001
4,468.3883
5,498.9638
6,437.0797999999999
7,486.34250000000003
8,450.1418999999999
9,493.6481
10,466.79859999999996
11,472.10260000000005
12,461.62699999999995
13,500.0581000000001
14,466.3632
15,478.9115
16,418.79819999999995
17,456.1455000000001
18,418.64279999999997
19,454.3452
20,450.5959
21,462.0668
22,415.1308
23,431.8644000000001
24,437.2596
25,431.84310000000005
26,410.65670000000006
27,444.3033
28,416.30230000000006
29,434.2125999999999
30,431.5237
31,441.67019999999997
32,416.91080000000005
33,429.65950000000004
34,397.6938999999999
35,422.3921999999999
36,390.42680000000007
37,419.78920000000005
38,405.56690000000003
39,428.3023
40,386.05750000000006
41,412.2786
42,380.313
43,416.83169999999996
44,414.14279999999997
45,424.2893
46,399.5299
47,412.2786
48,367.33469999999994
49,409.198
50,398.35
51,411.80099999999993
52,383.20989999999995
53,398.0699999999999
54,362.04099999999994
55,405.629
56,395.8707999999999
57,413.0866
58,381.25790000000006
59,401.07589999999993
60,346.83309999999983
61,399.14000000000004
62,377.84839999999997
63,401.74299999999994
64,362.70829999999995
65,382.15430000000003
66,344.44139999999993
67,389.7133
68,378.2712
69,397.1709000000001
70,363.65830000000005
71,385.16020000000003
72,340.13929999999993
73,384.1267
74,371.15459999999996
75,386.72969999999987
76,356.0145
77,380.9907999999999
78,338.51789999999994
79,388.5498
80,372.3476999999999
81,384.1267
82,362.3565
83,356.07050000000004
84,334.6508
85,368.8088
86,359.18489999999997
87,375.6326
88,352.4136000000001
89,368.1073
90,350.87699999999995
91,354.86310000000003
92,353.00260000000003
93,369.5010000000001
94,342.66089999999997
95,361.0168000000001
96,340.0002999999999
97,358.3487000000001
98,361.6264
99,359.1065000000001
100,346.9494000000001
101,384.1267
102,371.15459999999996
103,386.72969999999987
104,356.0145
105,384.1267
106,362.3565
107,356.07050000000004
108,334.6508
109,368.8088
110,359.18489999999997
111,375.6326
112,352.4136000000001
113,368.1073
114,350.87699999999995
115,354.86310000000003
116,353.00260000000003
117,369.5010000000001
118,342.66089999999997
119,361.0168000000001
120,340.0002999999999
121,384.1267
122,379.5576
123,384.7358999999999
124,367.7436
125,374.2836000000001
126,357.43240000000003
127,368.04280000000006
128,363.09080000000006
129,362.6494
130,347.0006000000001
131,358.7641000000001
132,357.7415
133,358.77200000000005
134,404.1779000000001
135,398.98480000000006
136,414.5657000000001
137,441.99230000000006
138,421.9001
139,441.8540000000001
140,504.31489999999997
141,495.1837
142,502.73779999999994
143,431.46899999999994
144,486.38759999999996
145,460.9381000000001
146,453.42479999999995
147,495.61599999999993
148,460.17879999999997
149,527.7321000000002
150,457.2531
151,457.7879000000001
152,449.1063000000001
153,453.20120000000014
154,449.7596000000001
155,450.2960000000001
156,449.06480000000005
157,436.54350000000017
158,462.6100000000001
159,436.9143000000002
160,454.8762000000002
161,529.8226
